Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Has?lat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Cesur Sava?ç?lar,Redbad,Macera,Roel Reiné,09/28/2018,8417,105955,"Roel Reiné, Klaas de Jong","Jonathan Banks, Søren Malling, Derek de Lint",5.5,3,Hollanda
Yüz,"Twarz, Mug",Dram,Malgorzata Szumowska,08/24/2018,8712,83695," Ma?gorzata Szumowska, Micha? Englert, Jacek Drosio","Mateusz Kosciukiewicz, Agnieszka Podsiadlik, Malgorzata Gorol",6.4,14,Polonya
Kap?daki S?r,,"Korku, Gerilim",Mehmet Ali Zaim,02/16/2018,8360,83412,Asuman Zaim - Zaim Film,"?iar Zaim, Natali Kayova, Melek Orhano?lu",6.4,4,Türkiye
Y?ld?zlar Asla Ölmez,Film Stars Don't Die in Liverpool,Dram,Paul McGuigan,04/27/2018,8327,91780," Barbara Broccoli, Colin Vaines","Annette Bening, Jamie Bell, Julie Walters",6.7,11,Birle?ik Krall?k
Güzel Adam Süreyya,,Belgesel,Gökçe Kaan Demirk?ran,02/09/2018,8315,91576,Film Deney,Y?lmaz Erdo?an,8,7,Türkiye
Karanl?kta,In Darkness ,Gerilim,Anthony Byrne,08/17/2018,8203,108171,"Natalie Dormer, Anthony Byrne, Adam Morane-Griffiths","Natalie Dormer, Emily Ratajkowski, Ed Skrein",5.7,2,"ABD, Birle?ik Krall?k"
Sava?tan Sonra,Mudbound,Dram,Dee Rees,03/02/2018,8037,85789," Sally Jo Effenson, Carl Effenson, Cassian Elwes","Carey Mulligan, Jason Clarke, Jason Mitchell",7.4,10,ABD
Do?mam??,Still/Born,Korku,Brandon Christensen,06/29/2018,7906,102788,"Andrew Form, Bradley Fuller, Michael Bay","Christie Burke, Jesse Moss, Rebecca Olson",5.4,3,Kanada
Cin Çe?mesi,,"Korku, Gerilim",Tuncer Gürbüz,02/02/2018,7857,76751,"?stanbul Media, Gürbüz Prodüksiyon","Mustafa Miraç Kaya, ?layda Özdo?a, Ya?ar Ayd?nl?o?lu",4.1,5,Türkiye
Ya?ar Kemal Efsanesi,,"Belgesel, Biyografi",Ayd?n Orak,07/27/2018,8904,88660,Orak Film,"Zulfu Livaneli, Halil Ergün, Ara Güler",7.5,14,Türkiye
Thelma,,"Fantastik, Dram, Gizem",Joachim Trier,03/30/2018,7793,92922,Thomas Robsahm,"Eili Harboe, Kaya Wilkins, Henrik Rafaelsen",7,16,"Danimarka, Fransa, ?sveç, Norveç"
S?f?r?n Alt?nda: Da?daki Mucize,6 Below: Miracle on the Mountain,"Macera, Dram, Biyografi",Scott Waugh,08/03/2018,8666,112120,"Josh Hartnett, Scott Waugh, Tucker Tooley","Josh Hartnett, Mira Sorvino, Sarah Dumont",5.7,6,ABD
Gerçek Kesit: Manyak,,Komedi,Onur Ünlü,03/23/2018,7680,93489,Mor Koyun,"Perihan Sava?, Cahit Ka??kç?lar, Emel Emir",5.7,9,Türkiye
Köpek Adas?,Isle of Dogs,"Macera, Komedi, Animasyon",Wes Anderson,04/20/2018,7660,120896,"Wes Anderson, Jeremy Dawson, Steven M. Rales","Bryan Cranston, Liev Schreiber, Edward Norton",7.8,5,"ABD, Almanya"
The Bookshop,,Dram,Isabel Coixet,06/08/2018,7294,90704,"Jaume Banacolocha, Sol Bondy, Paz Recolons","Emily Mortimer, Patricia Clarkson, Bill Nighy",6.5,9,"Almanya, Birle?ik Krall?k, ?spanya"
Hakaret,L'insulte,Dram,Ziad Doueiri,01/19/2018,6926,62367,"Rachid Bouchareb, Jean Bréhat, Julie Gayet Antoun ","Adel Karam, Kamel El Basha, Camille Salameh",7.6,10,"ABD, Belçika, Fransa, Güney K?br?s Rum Kesmi, Lübnan"
Put ?eylere,,"Fantastik, Dram",Onur Ünlü,11/23/2018,7060,93616,"Murat Özgüllü, Bülent Özcan","Türkü Turan, Erkan Kolçak Köstendil, Öner Erkan",5.2,7,Türkiye
Mary Shelley,,Dram,Haifaa Al-Mansour,07/13/2018,7435,85352,"Amy Baer, Ruth Coady, Alan Moloney","Tom Sturridge, Bel Powley, Douglas Booth",6.4,10,"ABD, Birle?ik Krall?k"
Sand?k,,"Korku, Gerilim, Bilim-Kurgu",Mücahit Pehlivan,04/20/2018,6789,69919,"Süper Dokuz, B Film Ekibi","Celal B?y?kl?, Adnan Tunal?, Ça?lar Ozan Aksu",3.6,7,Türkiye
Müze,Museo,"Dram, Suç",Alonso Ruizpalacios,10/26/2018,10293,107485,"Manuel Alcalá, Moises Cosio, Patricio Braun","Gael Garcia Bernal, Leonardo Ortizgris, Simon Russell Beale",6.8,13,Meksika
Ölüm Odas?,The Vault,"Korku, Gerilim",Dan Bush,01/05/2018,6412,80285,"Laura Hastings-Smith, Alison Owen, Paul Trijbits","James Franco, Taryn Manning, Francesca Eastwood",4.8,5,ABD
Vallahi Hortlad?,,Komedi,Volkan Ad?yaman,04/20/2018,6325,71456,Film Maker Produksiyon,"Burak ?ahin, Do?a Konako?lu, Bülent Mert",2.6,3,Türkiye
Kalp At??? Dakikada 120,"120 battements par minute, 120 Beats Per Minute",Dram,Robin Campillo,12/29/2017,6320,65321,"Jacques Audiard, Marie-Ange Luciani, Hugues Charbonneau","Adèle Haenel, Nahuel Pérez Biscayart, Arnaud Valois",7.4,8,Fransa
Karavan,The Leisure Seeker,"Macera, A?k, Dram",Paolo Virzì, 29.06.2018,"
6.212",71649,"Marco Cohen , Fabrizio Donvito , Benedetto Habib ","Helen Mirren, Donald Sutherland, Kirsty Mitchell",6.7,5,"Fransa, ?talya"
Paray? Bulduk,,Komedi,?hsan Ta?,12/29/2017,6080,64553,Ta? Film,"Ersin Korkut, Afrikal? Ali, Alay Cihan",2.1,4,Türkiye
Deniz K?y?s?ndaki Ev,La villa,Dram,Robert Guédiguian,07/13/2018,6079,?57.592," Robert Guédiguian, Marc Bordure.
","Ariane Ascaride, Jean-Pierre Darroussin, Gérard Meylan",6.5,9,Fransa
?eytan Geçidi Enhara,,"Korku, Gerilim",Onur Aldo?an,12/07/2018,6402,64881,HM Productions,"Yasemin Y?ld?z Gürler, Burak Küçük, Tayfun Turhan",6.3,11,Türkiye
Muhte?em Kad?n,"Una Mujer Fantástica, A Fantastic Woman",Dram,Sebastián Lelio,04/13/2018,"
5.901
",60461,"Sebastián Lelio, Gonzalo Maza, Pablo Larraín","Luis Gnecco, Daniela Vega, Francisco Reyes",7.2,8,"ABD, Almanya, ?spanya, ?ili"
Kap?mdaki A?k,Home Again,"Romantik-Komedi, Dram",Hallie Meyers-Shyer,09/21/2018,5841,?87.978," Nancy Meyers, Erika Olde","Reese Witherspoon, Michael Sheen, Candice Bergen",5.8,3,ABD
Don Ki?ot'u Öldüren Adam,The Man Who Killed Don Quixote,"Macera, Komedi, Dram",Terry Gilliam,12/07/2018,7976,92067,"Paulo Branco , Amy Gilliam , Jeremy Thomas ,","Adam Driver, Jonathan Pryce, Stellan Skarsgård",6.3,8,"Belçika, Birle?ik Krall?k, Fransa, ?spanya, Portekiz"
Zerk,,"Korku, Gerilim, Gizem",Battal Karsl?o?lu, 21.12.2018,5825,73624,Trio Pictures A.?.,"Ahu Sungur, Ergün Demir, Açelya Elmas",6,1,Türkiye
Bir Nefes Ötede,"Dans la brume, Just a Breath Away",Bilim-Kurgu,Daniel Roby,04/27/2018,5785,69971," Nicolas Duval-Adassovsky, Guillaume Colboc","Olga Kurylenko, Romain Duris, Fantine Harduin",5.9,4,Fransa
Yol Kenar?,,"Gerilim, Dram",Tayfun Pirselimo?lu, 25.06. 2018,6322,49830,Mitra Filmcilik,"Taner Birsel, Tansu Biçer, R?za Ak?n",6,9,"Türkiye, Yunanistan"
E?itlik Sava?ç?s?,On the Basis of Sex,"Dram, Biyografi",Mimi Leder,12/28/2018,7758,132951,"Robert W. Cort, Jonathan King","Felicity Jones, Justin Theroux, Armie Hammer",7.1,4,ABD
?a?k?nlar Çetesi,,Komedi,Kamil Ayd?n,05/04/2018,"
5.651",46659,Genç Popülist Medya,"Murat Ercanl?, Umut Tanyolu, Oktay Gürsoy",0,7,Türkiye
?eytan Kulesi,The Forlorned,Korku,Andrew Wiest, 13.07.2018,"
5.449",66920," Andrew Wiest, Ryan Reed, Robert Milo Andrus","Colton Christensen, Elizabeth Mouton, Cory Dangerfield",4.3,2,ABD
Cin Ç?karmas?,My Guardian Angel,Korku,Mümtaz Y?ld?r?mlar,11/19/1914,5437,58906,Mümtaz Y?ld?r?mlar,"Petra Bryant, Maria Figgins, Adrian Annis",4.6,4,Birle?ik Krall?k
Mekânlar ve Yüzler,"Visages villages, Faces Places",Belgesel,"Agnès Varda, JR",03/09/2018,6557,56295,Rosalie Varda,"JR, Agnès Varda, Jean-Luc Godard",7.8,14,Fransa
Gringo,,"Komedi, Dram, Aksiyon",Nash Edgerton,03/09/2018,5291,85203,"Trish Hofmann,Beth Kono,Anthony Tambakis","Melonie Diaz, Diego Cataño, David Oyelowo",6.1,1,"ABD, Avustralya"
Mirasç?lar,Las herederas,Dram,Marcelo Martinessi,10/12/2018,6725,55567,"Sebastián Peña Escobar,Marcelo Martinessi,","Ana Brun, Margarita Irun, Ana Ivanova",6.6,10,"Almanya, Brezilya, Fransa, Norveç, Paraguay, Uruguay"
Whitney,,"Belgesel, Biyografi, Müzik",Kevin Macdonald,11/16/2018,6550,73724,"Simon Chinn,Lisa Erspamer,Jonathan Chinn"," Whitney Houston, Kevin Costner, Aretha Franklin",7.3,14,"ABD, Birle?ik Krall?k"
?ngiltere Benim,England Is Mine,"Dram, Biyografi",Mark Gill,01/05/2018,5219,53026,"Orian Williams,Baldwin Li","Jessica Brown Findlay, Jack Lowden, Jodie Comer",5.8,8,Birle?ik Krall?k
?talyan Usulü A?k,Little Italy,Romantik-Komedi,Donald Petrie,08/31/2018,5705,84660,"Ajay Virmani,Vinay Virmani,Pauline Dhillon","Hayden Christensen, Emma Roberts, Alyssa Milano",5.7,5,"ABD, Kanada

"
The Florida Project,The Florida Project,Dram,Sean Baker,02/23/2018,5071,54229,"Sean Baker, Chris Bergoch, Shih-Ching Tsou","Willem Dafoe, Caleb Landry Jones, Brooklynn Prince",7.6,6,"ABD
"
Locman,Locman,"Aile, Dram",?ükrü Alaçam,03/09/2018,5053,53693,3 27 Film Yap?m,"Alican Yücesoy, Cem Cüceno?lu, Yeliz Kuvanc?",6.2,7,Türkiye
Samson,Samson,"Dram, Aksiyon","Bruce Macdonald, Gabriel Sabloff",02/23/2018,5033,65341," Bruce Macdonald, David A. R. White, Michael Scott","Billy Zane, Taylor James, Caitlin Leahy",4.5,4,"ABD, Güney Afrika"
Dovlatov,Dovlatov,"Dram, Biyografi",Aleksey German,08/10/2018,4986,57067," Andrey Savelyev, Artyom Vasilev, Dariusz Jab?o?ski","Milan Maric, Danila Kozlovsky, Helena Sujecka",6.4,9,"Polonya, Rusya, S?rbistan"
Kings,Kings,"A?k, Dram, Suç",Deniz Gamze Ergüven,10/12/2018,5053,69615,"Charles Gillibert, Trudie Styler, Celine Rattray","Daniel Craig, Halle Berry, Lamar Johnson",5.1,6,"ABD, Belçika, Çin, Fransa"
Antisosyal 2,Antisocial 2,Korku,Cody Calahan,06/22/2018,4952,55323,"Chad Archibald , Cody Calahan ","Michelle Mylett, Stephen Bogaert, Josette Halpert",4.5,5,Kanada
Misafir,,Dram,Andaç Haznedaro?lu,09/14/2018,4942,62148,"Andaç Film, ?stanbul Dijital","Saba Mubarak, Rawan Iskeif, Homam Hout",7.1,4,Türkiye
Edepsiz Kuklalar,The Happytime Murders,"Komedi, Fantastik, Suç",Brian Henson,08/24/2018,4885,72570,"Wang Zhongjun, Lisa Henson, Basil Grillo","Melissa McCarthy, Elizabeth Banks, Maya Rudolph",5.42,2,ABD
Dört Kö?eli Üçgen,,Dram,Mehmet Güreli,07/27/2018,5576,47431,Yeditepe Film,"Mustafa Dinç, Kaan Çak?r, ?lyas Özçak?r",6,12,Türkiye
Büyülü Konakta Ruh Ça??ran Gençlerin Hazin Hikayesi,,"Korku, Komedi",Sinan Kaçar,10/05/2018,4751,53257,?nfiniti Medya,"Cemre Kurum, Ecenaz Üçer, Feyyaz Gümü?",2.5,4,Türkiye
Anaokulu Ö?retmeni,The Kindergarten Teacher,Dram,Sara Colangelo,10/19/2018,4859,53495,"Maggie Gyllenhaal, Osnat Handelsman-Keren, Talia Kleinhendler","Maggie Gyllenhaal, Gael Garcia Bernal, Rosa Salazar",6.7,5,ABD
Velayet,"Jusqu'à la garde, Custody",Dram,Xavier Legrand,03/23/2018,5005,44322,Filmart?,"Léa Drucker, Denis Ménochet, Thomas Gioria",7.5,6,Fransa
A?k?n Algoritmas?,Zoe,"Bilim-Kurgu, A?k",Drake Doremus,12/21/2018,5326,85398,"Stuart Ford, Michael Pruss, Kevin Walsh","Ewan McGregor, Léa Seydoux, Theo James",6.1,5,ABD
Köpek Di?i,Kynodontas,"Gerilim, Dram",Yorgos Lanthimos,08/17/2018,5091,68262,"Yorgos Tsourgiannis, Iraklis Mavroidis, Yórgos Lánthimos","Christos Stergioglou, Michele Valley, Angeliki Papoulia",7.2,12,Yunanistan
Entebbe'de 7 Gün,7 Days in Entebbe,"Gerilim, Dram, Suç",José Padilha,03/16/2018,4521,71629,"Ron Halpern, Michelle Wright, Tim Bevan","Daniel Brühl, Rosamund Pike, Eddie Marsan",5.9,4,"ABD, Birle?ik Krall?k"
Kar,,Dram,Emre Erdo?du,03/23/2018,4496,46311,Rementad,"Hazar Ergüçlü, Ozan Uygun, Halil Babür",6.6,9,Türkiye
?afaktan Önce,A Prayer Before Dawn,"Suç, Biyografi, Aksiyon",Jean-Stéphane Sauvaire,08/31/2018,4490,54620,"Rita Dagher, James Schamus","Joe Cole, Panya Yimmumphai, Pornchanok Mabklang",6.8,5,"ABD, Birle?ik Krall?k, Çin, Fransa, Kamboçya"
Partilerde K?z Tavlama Sanat?,How to Talk to Girls at Parties,"Komedi, A?k, Fantastik",John Cameron Mitchell,05/18/2018,4455,49218," John Cameron Mitchell, Howard Gertler, Iain Canning,","Nicole Kidman, Elle Fanning, Stephen Campbell Moore",5.7,8,"ABD, Birle?ik Krall?k"
Kurtlar ve Çakallar,,Aksiyon,M.Bilgehan Karaca,12/21/2018,5854,63364,Han Yap?m,"Tayfun Sav, Özcan Varayl?, Ali Buhara Mete",6.9,6,Türkiye
Zama,,Dram,Lucrecia Martel,07/06/2018,5236,52207,Bir Film,"Daniel Giménez Cacho, Lola Dueñas, Matheus Nachtergaele",6.7,9,Arjantin
Canavar,Beast,Dram,Michael Pearce,09/14/2018,5442,59171,"David Kosse, Kristian Brodie, Greg McManus","Jessie Buckley, Johnny Flynn, Geraldine James",6.8,9,Birle?ik Krall?k
Dua Et Karde?iz,,Komedi,Hamza Yaman,07/06/2018,4171,42011,Parrot Film,"Eray Kaman, Gökhan Demir, Ba?ak Akbay",2.4,3,Türkiye
?li?ki Durumu: Aç?k ?li?ki,Permission,"Komedi, A?k, Dram",Brian Crano,04/20/2018,4162,67430,"Erika Hampson, Margot Hand, Rebecca Hall","Rebecca Hall, Jason Sudeikis, Dan Stevens",5.3,3,ABD
Saplant?,"Siembamba, The Lullaby",Korku,Darrell Roodt,05/18/2018,4050,54848,Joseph Malloch,"Brandon Auret, Reine Swart, Thandi Puren",4,3,ABD
Ödüllü K?sa Filmler,,"Komedi, Animasyon, Dram","Ely Dagher, Fabrice Joubert, Patrick Vollrath, Tom Van Avermaet, Luke Doolan",05/18/2018,4030,44575,Filmart?,"Matthias Schoenaerts, Laura Verlinden, Elie Bassila",0,5,"Almanya, Avusturya, Belçika, Fransa, Lübnan"
Ev Kad?n?,Housewife,Korku,Can Evrenol,08/10/2018,4023,51769," Müge Büyüktala?, Metin Anter, Erhan Özo?ul","Defne Halman, Clémentine Poidatz, David Sakurai",4.8,3,Türkiye
Çift'lik Bank: Tosun Firarda,,Komedi,?smail Hakk? Koç,11/16/2018,6187,71228,Best Brothers Production,"Burak Alka?, Fercan Bay, Murat Övüç",2,5,Türkiye
Melez,The Crossbreed,"Korku, Gerilim",Biray Dalk?ran,03/02/2018,3841,43608,Dipti Regmi,"Angela Durazo, Nathan Schellerup, Danny Winn",2,4,ABD
Kabus,,"Korku, Gerilim",Tuncer Gürbüz,03/30/2018,3810,38136,Gürbüz Prodüksiyon,"Mustafa Miraç Kaya, Gülfer Sar?gül, Esra Öztop",4.8,7,Türkiye
Mezarl?k,,"Korku, Gerilim, Dram",Fuat Y?lmaz,05/18/2018,3658,40078,"BYFY Productions, Derin Film","Nihal Candan, Seyithan Özdemir, Hakan Eksen",4.2,3,Türkiye
Kickboxer: Misilleme,Kickboxer: Retaliation,Aksiyon,Dimitri Logothetis,03/30/2018,3628,40070," Dimitri Logothetis, Robert Hickman","Jean-Claude Van Damme, Mike Tyson, Christopher Lambert",5,3,ABD
Bütün Saadetler Mümkündür,,Dram,Selman K?l?çaslan,04/20/2018,4484,35077,A?ina Sanat,"Ruhi Sar?, Kemal Uçar, Nilay Erdönmez",5.7,9,Türkiye
Eva,,"A?k, Dram",Benoît Jacquot,08/03/2018,3457,40614,"Mélita Toscan du Plantier, Luc Besson, Marie-Jeanne Pascal","Gaspard Ulliel, Isabelle Huppert, Julia Roy",4.7,9,"Belçika, Fransa"
Göç Yolu,,Dram,Turgut Ural,09/21/2018,3594,32825,Siyap Yap?m Film,"Aysun Güven, Sinan Bengier, Ahmet Yenilmez",4.6,7,Türkiye
Hayat Okulu,L'école buissonnière,"Komedi, Dram",Nicolas Vanier,07/06/2018,3687,51656,Clément Miserez,"François Cluzet, Jean Scandel, Eric Elmosnino",6.9,4,Fransa
Paçi: Av Sanat?,,Dram,Elçin Elgür,05/04/2018,3436,20505,ECN Film,"Mustafa Memo?lu, Esra Memo?lu, ?brahim Sar?",7.1,4,Türkiye
Ruhlar Evi,The Spiritualist,Korku,Carl Medland,03/30/2018,3393,41148,"Cristina Cimino, Mümtaz Y?ld?r?mlar","Carl Medland, Petra Bryant, Judson Vaughan",3.3,4,Birle?ik Krall?k
Eyvah Kar?m,,Komedi,Ra?it Çelikezer,04/06/2018,3372,34519,Statü,"Asuman Dabak, Yosi Mizrahi, Wilma Elles",3.3,4,Türkiye
Mahalle,,"Gerilim, Komedi, Dram","Bu?ra Gülsoy, Serhat Teoman",03/09/2018,3364,40611,"Med Yap?m, Get Yap?m","Bu?ra Gülsoy, Hazar Ergüçlü, Serhat Teoman",5.3,2,Türkiye
?yi Günler,"Hao ji le, Have A Nice Day","Komedi, Animasyon, Suç",Jian Liu,02/09/2018,3418,26383,Bir Film," Zhu Changlong, Yang Siming, Cao Kou",6.5,10,Çin
Yar?m ile Yamalak,,Komedi,Kubilay Y?lmaz,08/17/2018,3332,32441,Vera Production,"Adem Erayd?n, Selahattin Çak?r, Gülnihal Demir",2.3,4,Türkiye
Madame,,"Komedi, Dram",Amanda Sthers,07/27/2018,5285,64533,"Cyril Colbeau-Justin, Alain Pancrazi, Didier Lupfer","Rossy de Palma, Toni Collette, Harvey Keitel",6.1,14,Fransa
Dokunma Bana,Touch Me Not,Dram,Adina Pintilie,09/28/2018,5158,54932,"Adina Pintilie, Bianca Oana, Philippe Avril","Adina Pintilie, Laura Benson, Tómas Lemarquis",5.6,8,"Almanya, Bulgaristan, Çek Cumhuriyeti, Fransa, Romanya"
Taksim Hold'em,,"Komedi, Dram",Michael Önder,04/27/2018,3168,38363,Bluff Films,"Kenan Ece, Damla Sönmez, Berk Hakman",6.7,7,Türkiye
Atölye,The Workshop,Dram,Laurent Cantet,06/15/2018,3123,36177,Siyah Beyaz Movies,"Marina Foïs, Matthieu Lucci, Florian Beaujean",6.5,9,Fransa
Kaç Kaçabilirsen,,Komedi,Hakan Eser,05/04/2018,3101,34563,Tuana Yap?m,"Önder Aç?kba?, Enis Ar?kan, Seda Güven",5.5,3,Türkiye
Foxtrot,Foxtrot,Dram,Samuel Maoz,02/02/2018,3057,29752,"Marc Baschet, Dorissa Berninger, Jonathan Doweck","Shira Haas, Lior Ashkenazi, Sarah Adler",7.2,6,"Almanya, Fransa, ?srail, ?sviçre"
?natç? Bir Adam,A Man of Integrity,Dram,Mohammad Rasoulof,05/04/2018,3016,33350,"Mohammad Rasoulof, Rozita Hendijanian, Kaveh Farnam","Reza Akhlaghirad, Soudabeh Beizaee, Nasim Adabi",7.2,3,?ran
Kod Ad?: Sosisli,Hot Dog,"Komedi, Aksiyon",Torsten Künstler,07/20/2018,2936,34192,"Markus Reinecke, Christian Specht, Dan Maag","Til Schweiger, Matthias Schweighöfer, Anne Schäfer",4,3,Almanya
Donbass,,Dram,Sergey Loznitsa,12/14/2018,5389,55651,"Jacques Bidou, Marianne Dumoulin, Heino Deckert","Valeriu Andriuta, Georgiy Deliev, Boris Kamorzin",6.6,9,"Almanya, Fransa, Hollanda, Romanya, Ukrayna"
Radiogram,Radiogram,Dram,Rouzie Hassanova,09/21/2018,2847,33385,Radiogram,"Alexander Hadjiangelov, Yana Titova, Aleksandar Aleksiev",6.4,7,Bulgaristan
Cameron Post'a Ters Terapi,The Miseducation of Cameron Post,Dram,Desiree Akhavan,11/09/2018,2838,31737,"Cecilia Frugiuele, Michael B. Clark, Alex Turtletaub","Chloe Grace Moretz, Sasha Lane, Quinn Shephard",6.6,5,ABD
Kiraz Mevsimi,,"Komedi, Dram",Durmu? Akbulut,05/18/2018,2752,26327,Melta? Film Yap?m,"Taylan Güner, Turan Özdemir, Pelin Ermi?",5,7,Türkiye
Ev Kira Semt Bizim,,Komedi,Mustafa Kenan Aybast?,04/27/2018,3026,29896,BSM,"Berna Üçkaleler, Ahmet Karsl?, Arda Kavakl?o?lu",4.8,5,Türkiye
Yaz,Leto,"A?k, Biyografi, Müzik",Kirill Serebrennikov,11/23/2018,5993,51069," Ilya Stewart, Murad Osmann, Pavel Burya","Teo Yoo, Irina Starshenbaum, Roman Bilyk",7.3,12,"Fransa, Rusya"
"K?smet, Sevgilim: ?lk ?ark?","Mektoub, My Love: Canto Uno","A?k, Dram",Abdellatif Kechiche,07/20/2018,2719,28309," Abdellatif Kechiche, Jérôme Seydoux, Ginevra Elkann, ","Shaïn Boumedine, Ophélie Bau, Salim Kechiouche",6.5,8,"Fransa, ?talya"
K?skanç,Jalouse,"Komedi, Dram","David Foenkinos, Stéphane Foenkinos",08/31/2018,2717,43800," Eric Altmeyer, Nicolas Altmeyer","Karin Viard, Dara Tombroff, Anne Dorval",6.1,5,Fransa
Sessiz Ol,,"Korku, Gerilim",Samet Çak?rta?,06/29/2018,2677,26282,Filmeks,"Ak?n Ayvaz, ?engül Kaya, Cansel Aydos",0,6,Türkiye
Mart?,,Dram,Erkan Tunç,03/23/2018,2675,20283,Mint Prodüksiyon,"Onur Buldu, ?rem Sak, Öner Erkan",6.6,8,Türkiye
Renksiz Rüya,Hewno Bêreng,Dram,Mehmet Ali Konar,06/22/2018,2550,25910,"Zerr Film, MTA Film","Civan Güney Tunç, Bilal Bulut, Orhan Al?c?",6.7,6,Türkiye
Durumunu Güncelle,Status Update,"Komedi, Gençlik",Scott Speer,08/10/2018,2550,24190," Adam Shankman, Jennifer Gibgot, Dominic Rustam","Courtney Eaton, Ross Lynch, Olivia Holt",5.8,6,"ABD, Çin, Kanada"
Louis ve Luca: Büyük Peynir Yar???,Louis & Luca: The Big Cheese Race,"Animasyon, Aile",Rasmus A. Sivertsen,04/06/2018,2540,29196," Cornelia Boysen, Synnøve Hørsdal, Ove Heiborg","Kari Ann Grønsund, Trond Hovik, Trond Braenne",6.5,7,Norveç
Eyvah Anne Oluyorum,"Telle mère, telle fille (Baby Bump(S))",Komedi,Noémie Saglio,05/11/2018,2512,26637,"Noémie Saglio, Camille Gentet, Rémi Cervoni","Juliette Binoche, Lambert Wilson, Camille Cottin",5.1,3,"Almanya, Fransa"
Halef,,Dram,Murat Düzgüno?lu,09/28/2018,4378,27659,Fikirtepe Film,"Muhammed Uzuner, Baran ?ükrü Babacan, Güler Ökten",5.6,11,Türkiye
Selfi,,"Komedi, Biyografi",Hülya Av?ar,04/27/2018,2487,25337,Hülya Av?ar 10 Film,Hülya Av?ar,1.2,2,Türkiye
S?k? Dostlar,Last Flag Flying,"Komedi, Dram, Sava?",Richard Linklater,07/27/2018,2473,30303,"Harry Gittes, Ginger Sledge, John Sloss","Bryan Cranston, Laurence Fishburne, Steve Carell",6.9,2,ABD
Üç Tepe,"Drei Zinnen, Three Peaks",Dram,Jan Zabeil,09/28/2018,2460,29433,"Natalia Gozdzik, Benny Drechsel, Andreas Pichler","Alexander Fehling, Bérénice Bejo, Arian Montgomery",6,3,"Almanya, ?talya"
Tanr?dan Gelen,Revelator,Korku,J. Van Auken,08/24/2018,2399,28058,J. Van Auken,"Lillian Solange Beaudoin, Barrow Davis-Tolot, Shelly DeChristofaro",4.7,6,ABD
Tutsak,,Korku,Beyza Çimenot,05/11/2018,2384,24596,Gürsoy Yap?m,"Reyhan ?lhan, Tayfun Sav, Ya?ar Ayd?nl?o?lu",3.8,8,Türkiye
F?nd?k Veresiye,,Komedi,Fatema Khawari,05/04/2018,2305,25673,Bilge K?lavuz E?itim,"Melisa Do?an, Ahmet Hamdi Bac?no?lu, Yasin Yap?c?",,4,Türkiye
Sosyopat,Evolution of Evil,Korku,Kevin Forrest,09/14/2018,2255,27135,"Scott Ballard, Kelly McCrillis, Molly Preston","Jeffrey Arrington, Michael Draper, Erin McGarry",3.2,4,ABD
Borç,,Dram,Vuslat Saraço?lu,11/30/2018,9685,67871,Streç Film,"Serdar Orçin, ?pek Türktan Kaynak, Rüçhan Çal??kur",6.3,25,Türkiye
Zat-? Mahfuz,,"Dram, Belgesel",Sedat Yetkin,03/23/2018,2199,17929,Bapir Film,"Be?ir Öner, Talha Eyigün, Mehmet Demirta?",0,4,Türkiye
Son Ç?k??,,Komedi,Ramin Matin,12/07/2018,3771,26140,Giyotin Film,"Deniz Celilo?lu, Ezgi Çelik, Kerem F?rt?na",6.2,9,Türkiye
Gizem Treni,Mystery Train,"Komedi, Dram, Suç",Jim Jarmusch,08/10/2018,2503,26906,Jim Stark,"Masatoshi Nagase, Yûki Kudô, Screamin' Jay Hawkins",7.5,4,"ABD, Japonya"
Borg/McEnroe,Borg/McEnroe,"Dram, Biyografi, Spor",Janus Metz,06/08/2018,2756,28809,"Fredrik Wikström, Jon Nohrstedt","Shia Labeouf, Sverrir Gudnason, Stellan Skarsgård",6.9,6,"Danimarka, Finlandiya, ?sveç"
Zohak,,Korku,Adem U?ur,06/08/2018,2134,20618,?ua Film,"Seda Kement, Erkan Çelik, Abdullah ?ekero?lu",2.3,5,Türkiye
Zaman?n S?n?r?nda,"Rubezh, Frontier","Fantastik, Sava?, Aksiyon",Dmitriy Tyurin,04/13/2018,2033,22083," Dshakhong Faiziyev, Rafael Minasbekyan, Alexander Bondarev","Stanislav Duzhnikov, Kristina Brodskaya, Alexander Korshunov",5.3,3,Rusya
Kötülük ?çinde,The Bad Nun,Korku,Scott Jeffrey,11/30/2018,2048,24720," Scott Jeffrey, Rebecca Matthews","Becca Hirani, Lucy Chappell, Tiffany-Ellen Robinson",3.2,7,Birle?ik Krall?k
Sokak S?n?f?,,Komedi,Mehmet Ya?a,10/05/2018,2178,22644,Bapir Film,"Sedat Önder, Mehmet Ya?a, Ömer K?z?l",0,6,Türkiye
Y?lba?? Sürprizi,Y?lba?? Sürprizi,Dram,Valeska Grisebach,09/14/2018,2700,19322," Jonas Dornbach, Janine Jackowski, Viktor Chouchkov","Meinhard Neumann, Reinhardt Wetrek, Syuleyman Alilov Letifov",7,6,"Almanya, Avusturya, Bulgaristan"
