Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Has?lat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Thor: A?k ve Gök Gürültüsü,Thor: Love and Thunder,"Macera, Fantastik, Aksiyon",Taika Waititi,07/08/2022,1229668,53833184,Kevin Feige,"Chris Hemsworth, Tessa Thompson, Natalie Portman",6.3,15,ABD
Minyonlar 2: Gru'nun Yükseli?i,Minions: The Rise of Gru,"Macera, Animasyon, 3 Boyutlu","Kyle Balda, Brad Ableson",07/01/2022,1194447,49750622,"Chris Renaud, Chris Meledandri, Janet Healy","Steve Carell, Alan Arkin, Taraji P. Henson",6.6,26,ABD
Aslan Hürku? Kay?p Elmas,,Animasyon,"Hakan Bol, H. Sinan Güngor",01/07/2022,1167455,27460718,"Outline Ajans, Akko Organizasyon","Kayra Özdemir, Elif Gizem Aykul, Nusret Çetinel",6.3,28,Türkiye
The Batman,The Batman,"Dram, Suç, Aksiyon, IMAX",Matt Reeves,03/04/2022,1081473,36684759," Matt Reeves, Dylan Clark","Robert Pattinson, Zoë Kravitz, Paul Dano",7.8,10,ABD
Aslan Hürku? Görevimiz Gökbey,,Animasyon,"H. Sinan Güngor, Semih Tural?, Yunus Emre Çak?r",09/21/2022,905431,44005073,Outline Animation and Games,"Kayra Özdemir, Elif Gizem Aykul, Fatih Özkul",5.4,16,Türkiye
Kirpi Sonic 2,Sonic the Hedgehog 2,"Macera, Komedi, Aksiyon",Jeff Fowler,04/08/2022,686557,22672384,"Sonic Team, Sega Technical Instute","Jim Carrey, James Marsden, Tika Sumpter",6.5,21,ABD
Dilberay,,"Dram, Biyografi",Ketche,02/04/2022,686495,18555172,Aytaç Medya,"Bü?ra Pekin, Ayberk Pekcan, Nursel Köse",5.9,18,Türkiye
Black Adam,,"Bilim-Kurgu, Aksiyon, IMAX",Jaume Collet-Serra,09/21/2022,527329,30276257,"Dwayne Johnson, Dany Garcia, Hiram Garcia, Beau Flynn","Dwayne Johnson, Sarah Shahi, Pierce Brosnan",6.4,9,ABD
Tay,,Animasyon,Nurullah Yenihan,09/23/2022,516275,22461969,Laciverd,,5,19,Türkiye
K?rm?z?,Turning Red,"Animasyon, 3 Boyutlu",Domee Shi,03/11/2022,503475,15364014,Lindsey Collins,"Rosalie Chiang, Sandra Oh, Ava Morse",7,18,ABD
Top Gun: Maverick,,"Dram, Aksiyon",Joseph Kosinski,05/27/2022,498395,21624164,"Tom Cruise, Jerry Bruckheimer, Christopher McQuarrie, David Ellison","Tom Cruise, Val Kilmer, Jennifer Connelly",8.3,20,ABD
Black Panther: Ya?as?n Wakanda,Black Panther: Wakanda Forever,"Macera, Aksiyon",Ryan Coogler,11/11/2022,487382,30846700,"Kevin Feige, Nate Moore","Letitia Wright, Lupita Nyong'o, Angela Bassett",6.8,7,ABD
Jurassic World: Hâkimiyet,Jurassic World Dominion,"Macera, Bilim-Kurgu, Aksiyon",Colin Trevorrow,06/10/2022,483842,18821005,"Universal Stüdyolar?, Amblin Entertainment, Perfect World Pictures, Latina Pictures","Chris Pratt, Bryce Dallas Howard, Laura Dern",5.6,14,ABD
Uncharted,,"Macera, Aksiyon",Ruben Fleischer,02/11/2022,447171,13953139,"Avi Arad, Alex Gartner, Charles Roven, Ari Arad","Tom Holland, Mark Wahlberg, Antonio Banderas",6.3,8,ABD
Fantastik Canavarlar: Dumbledore'un S?rlar?,Fantastic Beasts: The Secrets of Dumbledore,"Macera, Aile, Fantastik, IMAX",David Yates,04/15/2022,434214,16891691,"David Heyman, J.K. Rowling, Steve Kloves, Lionel Wigram, Tim Lewis","Eddie Redmayne, Jude Law, Katherine Waterston",6.2,9,ABD
Müjdemi ?sterim,,Komedi,Ömer Faruk Yard?mc?,11/18/2022,439991,24540616,TMC Film,"Ahmet Kural, Ecem Erkek, Mehmet Özgür",5.4,9,Türkiye
Adan?? Kutsal Kavga,,"Dram, Aksiyon",Emir Khalilzadeh,03/11/2022,410346,8494546,FFP Media,"?smail Filiz, Esra Bilgiç, Baki ?lhan",5.1,17,Türkiye
Kaptan Pengu ve Arkada?lar? 2,,Animasyon,"Nurullah Yenihan, Pelin Tu?çe ?en",01/28/2022,390773,9631773,Siyah Mart?,"?ensel Uykal, Onur Akgülgil, Emin Yaraç, Ufuk Yüksel, Ali ?hsan Bozdemir",6.6,32,Türkiye
"Bar?? Akarsu ""Merhaba""",,"Dram, Biyografi",Mert Dikmen,11/18/2022,367006,19775689,"Fikri Harika Prodüksiyon, Aytaç Medya","?smail Ege ?a?maz, Almila Ada, Hüseyin Avni Danyal",6.3,7,Türkiye
Benden Ne Olur?,,Romantik-Komedi,Murat ?enöy,01/14/2022,360863,9481634,"Med Yap?m, CJ ENM, Ay Yap?m","Hazal Kaya, Onur Tuna, Enis Ar?kan",4.7,10,Türkiye
?ark?n? Söyle 2,Sing 2,"Komedi, Animasyon, 3 Boyutlu",Garth Jennings,01/21/2022,338972,8916573,Chris Meledandri; Janet Healy,"Arda Ayd?n, Figen Sumeli,Ali Çorapç?",7.4,9,ABD
Doru Macera Orman?,,Animasyon,Ark?n Aktaç,04/01/2022,319467,8410665,Anibera,"Dilek Gürel, Özgür Varul, Emin Yaraç",4.2,18,Türkiye
Müstakbel Damat,,Komedi,?lker Ayr?k,11/11/2022,308886,16055486,Pervas?z Yap?m,"?lker Ayr?k, Erdal Özya?c?lar, Hande Soral",4.9,8,Türkiye
Nasreddin Hoca Zaman Yolcusu,,Animasyon,Nurullah Yenihan,12/09/2022,362677,19057674,Siyah Mart?,"Ekinsu Karaata, Fatih Özkul, Ender Yi?it",4.1,9,Türkiye
Suikast Treni,Bullet Train,"Gerilim, Aksiyon",David Leitch,08/05/2022,275444,14410446,"David Leitch, Antoine Fuqua, Kelly McCormick","Brad Pitt, Zazie Beetz, Aaron Taylor-Johnson",7.3,10,ABD
Karlar Kraliçesi ve Prenses,The Snow Queen & The Princess,Animasyon,"Andrey Korenkov, Aleksey Tsitsilin",11/11/2022,251137,13460658,Walt Disney Animation Studios,"Paul Rudd, Evangeline Lilly",6.2,8,Rusya
Kim Bu Aile?,,"Komedi, Aile, Aksiyon",Bedran Güzel,10/07/2022,213535,11341204,CJ ENM,"Cengiz Bozkurt, Nurgül Ye?ilçay, Onur Buldu",5.5,6,Türkiye
Morbius,Morbius,"Macera, Dram, Aksiyon, 3 Boyutlu",Daniel Espinosa,04/01/2022,208718,7061615,"Avi Arad, Lucas Foster, Matthew Tolmach","Jared Leto, Jared Harris, Matt Smith",5.2,5,ABD
Kurak Günler,,Dram,Emin Alper,12/09/2022,248148,16544461,"Ay Yap?m, Liman Film","Selahattin Pa?al?, Ekin Koç, Erol Babao?lu",8.1,11,Türkiye
Malazgirt 1071,,"Tarihi, Sava?, Aksiyon","Özgür Bakar, Bilal Kalyoncu",02/11/2022,197175,3465631,2506,"Cengiz Co?kun, Haluk Piyes, Caner Kurtaran",3.7,19,Türkiye
Ç??l?k,Scream,"Korku, Gerilim, Gizem","Tyler Gillett, Matt Bettinelli-Olpin",01/14/2022,193785,5317847,"Cathy Konrad, Cary Woods","Neve Campbell, Courtney Cox, Jenna Ortega",6.3,7,ABD
Bu?day Tanesi,,Dram,Do?an Ümit Karaca,12/02/2022,233125,7011590,Beyrut Yap?m,"Kutsi, Yeliz Akkaya, Deniz Arna",5,9,Türkiye
Kim Demi? Kötüyüz Diye?,The Bad Guys,"Animasyon, 3 Boyutlu",Pierre Perifel,04/29/2022,183709,6259451,DreamWorks Animation,"Sam Rockwell, Marc Maron, Awkwafina",6.8,11,ABD
DC Süper Evciller Tak?m?,DC League of Super-Pets,"Macera, Animasyon, Fantastik","Sam Levine, Jared Stern",07/29/2022,179278,7588542,"Patricia Hicks, Jared Stern, Dwayne Johnson","Dwayne Johnson, Kevin Hart, Kate McKinnon",7.2,15,ABD
Moonfall,,"Macera, Fantastik, Aksiyon, IMAX",Roland Emmerich,02/04/2022,162340,4709991,"Roland Emmerich, Harald Kloser","Halle Berry, Patrick Wilson, John Bradley",5.1,8,"ABD, Çin, Kanada"
Yunus Çocuk,Dolphin Boy,"Animasyon, Aile",Mohammed Kheirandish,12/02/2022,168214,9021367,"Mohammed Hamedani, Hüseyin Kuyulu, Hossein Raghebi","Burak Sergen, Esra Bilgiç, Yetkin Dikinciler",5.3,11,?ran
Mutlu Oyuncak Dükkan?,,Animasyon,H. Sinan Güngor,06/10/2022,155510,5280376,Outline Animation and Games,"Elif Gizem Aykul, Hakan Co?ar, Elifcan Kamilo?lu",5.9,16,Türkiye
Afacanlar: ?? Ba?a Dü?tü,,"Komedi, Aile",Enes Ate?,02/04/2022,149747,4195141,CM Medya,"Berat Efe Parlar, Gürgen Öz, Burak Hakk?",4.5,25,Türkiye
Band?rma Füze Kulübü,,Dram,Ömer Faruk Sorak,10/21/2022,148275,7042026,?stanbul Sinemac?l?k,"Alina Boz, Deniz Can Akta?, Erkan Kolçak Köstendil",7.2,16,Türkiye
Anka,,"Dram, Aksiyon",Süleyman Mert Özdemir,01/28/2022,131350,2181897,MGX Film,"Ozan Akbaba, U?ur Uzunel, Deniz I??n",4.6,4,Türkiye
Mahlûkat,,Korku,Alper Mestçi,02/18/2022,128679,3473984,"Metronom Yap?m, Aytaç Medya, Fikri Harika Prodüksiyon","Adnan Koç, Seda O?uz, Kurtulu? ?akira?ao?lu",4.8,6,Türkiye
Sevmedim Deme,,"Dram, Biyografi",Burak Kuka,10/14/2022,124486,6045000,"NETD, DMC, Mahzen Media","Kurtulu? Ku?, Burak Bulut, Ceyda Ate?",7.5,8,Türkiye
Hazine Avc?s?n?n Maceralar? ve Zümrüt Tablet,Tad The Lost Explorer And The Emerald Tablet,Animasyon,Enrique Gato,09/02/2022,122648,5817800,"Telecinco Cinema, Ikiru Films, Lightbox Animation Studios","Oscar Barberán, Luis Posada, Michelle Jenner",6,10,?spanya
Aya Sihirli Yolculuk,Moonbound,"Macera, Animasyon, Aile",Ali Samadi Ahadi,10/28/2022,119435,6362983,"Ali Samadi Ahadi, Frank Geiger, Armin Hofmann","Dirk Petrick, Peter Simonischek, Roxana Samadi",4.8,13,"Almanya, Avusturya"
Hep Yek 5: Bizim ?eyimiz mi Altan,,Komedi,Özgür Bakar,11/04/2022,113008,5946819,"2506, TME Films","?nan Ula? Torun, Önder Aç?kba?, Tuna Orhan",3.3,7,Türkiye
Gülümse,Smile,Korku,Parker Finn,09/30/2022,100755,5570191," Paramount Players, Temple Hill Entertainment","Sosie Bacon, Kyle Gallner, Caitlin Stasey",6.6,8,ABD
Mutlu Canavar Ailesi 2,"Monster Family 2, Happy Family 2","Macera, Komedi, Animasyon",Holger Tappe,02/25/2022,98956,2851366,"Holger Tappe, Stefan Mischke, Michael Mack","Emily Watson, Nick Frost, Jessica Brown Findlay",4.8,18,"Almanya, Birle?ik Krall?k"
