Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Hasılat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Gölge Ajan: İstanbul'da Ölümcül Hesaplaşma,"Ten: Vzyat Gordeya, Shadow","Macera, Aksiyon","Ilya Kulikov, Anya Mirohina",8/11/2023,526,"55,381",Alina Gerasimova,"Tatyana Babenkova, Iman Baysayeva, Martin Cooke",4.6,1,Rusya
Kelebek Görüşü,Butterfly Vision,Dram,Maksym Nakonechnyi,8/25/2023,507,"43,658","Darya Bassel, Yelizaveta Smit","Rita Burkovska, Lyubomyr Valivots, Myroslava Vytrykhovska-Makar",6.6,4,"Çek Cumhuriyeti, İsveç, Ukrayna"
Oyun Vakti,Playtime,Komedi,Jacques Tati,8/11/2023,501,"46,523",Bernard Maurice René Silvera,"Jacques Tati, Barbara Dennek, Rita Maiden",7.8,1,Fransa
Harold Fry'ın Beklenmedik Yolculuğu,The Unlikely Pilgrimage of Harold Fry,Dram,Hettie Macdonald,7/14/2023,492,"70,920","Juliet Dowling, Kevin Loader, Marilyn Milgrom","Jim Broadbent, Penelope Wilton, Monika Gossmann",6.8,2,Birleşik Krallık
Özel Bir Hediye,The New Toy,Komedi,James Huth,3/24/2023,478,"47,407",Richard Grandpierre,"Jamel Debbouze, Daniel Auteuil, Alice Belaïdi",5.9,4,Fransa
Para Avı,Hunted,Aksiyon,Ari Novak,9/1/2023,466,"46,764","Rib Hillis, Ari Novak, Todd Slater","Rachel Cook, Rib Hills, Bobby Maximus",3.9,1,ABD
Yenilmez Üçler,Once Upon a Time in Ukraine,"Macera, Komedi, Aksiyon",Roman Perfilyev,7/7/2023,348,"33,267",Yuriy Minzyanov,"Roman Lutskyi, Sergey Strelnikov, Gen Seto",6.7,1,Ukrayna
Teftiş,The Inspection,Dram,Elegance Bratton,7/21/2023,334,"28,815",Effie Brown,"Jeremy Pope, Gabrielle Union, Bokeem Woodbine",6.7,2,ABD
Bay Hulot'nun Tatili,Monsieur Hulot's Holiday,Komedi,Jacques Tati,8/11/2023,333,"30,569","Fred Orain, Jacques Tati ","Jacques Tati, Nathalie Pascaud, Micheline Rolla",7.3,1,Fransa
Bir Tutam Karanfil,,Dram,Bekir Bülbül,10/13/2023,502,"49,255",Mayıs Film,"Demir Parscan, Şam Şerit Zeydan, Bahadır Efe",6.1,1,Türkiye
Umay,,Korku,Osman Tuğra,4/14/2023,328,"8,315",Film Doktoru,"Osman Tuğra, Tamer Küçük, Sude Kasap",3.0,9,Türkiye
Birkaç Mısraymış Meğer,,Dram,"Hüsamettin Elçi, Arin Arjen Öztürk",11/17/2023,260,"28,370",Elçi Belgelendirme,"Seyit Taha Elçi, Şermin Güven, Ahmet Fırat İçigen",3.0,1,Türkiye
Düet,,Belgesel,"Ekin İlkbağ, İdil Akkuş",9/22/2023,254,"17,419",Pablo Film,"Defne Bakırcı, Mısra Gündeş, Nataliya Maschcuk",6.5,5,Türkiye
Simitçi,,Dram,Serkan Özarslan,12/15/2023,246,"28,670",TFT Yapım,"Gürbey İleri, Tolga Güleç, Ece Gökçen",4.0,1,Türkiye
Produkty 24,Convenience Store,"Dram, Suç",Michael Borodin,4/7/2023,237,"15,382",Asya Pavlovskaya,"Zukhara Sanzysbay, Lyudmila Vasilieva, Tolibjon Suleymanov",6.2,1,"Almanya, Rusya"
Sır Şeytanın Kurbanları,,"Korku, Gerilim",Yavuz Duman,10/27/2023,231,"18,255",Nazın Medya,"Murat Sarıyıldız, Yavuz Duman, Şehnaz Dilan",6.4,1,Türkiye
Yasa Dışı,The Gemini Lounge,"Gerilim, Dram, Suç",Danny A. Abeckaser,9/22/2023,222,"20,625","Danny A. Abeckaser, Kyle Stefanski, Jon Brewer","Emile Hirsch, Lucy Hale, Ashley Greene",5.5,1,ABD
Hazep,,Korku,Doğuş Arslan,10/6/2023,205,"18,330",Skypic Films,"Damla Taka, Cemal Aşkın Alpçetin, Doğuş Arslan",3.0,1,Türkiye
Demon Slayer: Kimetsu No Yaiba - Orchestra Concert - Mugen Train Arc,,"Animasyon, Müzik",Hirofumi Kurita,12/15/2023,165,"22,455",CGV Mars D.,Tokyo Philharmonic Orchestra,8.2,1,Japonya
Viyana Operası Sahne Arkası,Backstage Wiener Staatsoper,Belgesel,Stephanus Domanig,12/8/2023,152,"24,750",Prisma Film- und Fernsehproduktion,"Marco Armiliato, Simon Keenlyside, Elina Garanca",6.8,1,Avusturya
Kızım,,"Gerilim, Dram",İhsan Gökhan Gökçay,3/31/2023,73,"4,325",Mor Yapım,"Erol Yavan, Sinem Dalkıran, Pınar Kartal",2.8,2,Türkiye
Borcumuz Borç,,Komedi,Abbas Karatekin,8/11/2023,36,"2,489",Kadraj Film,"Can Şuoruç, Metin Keçeci, Selahattin Taşdöğen",3.0,1,Türkiye
Ali Çevlik,,Dram,Mahmut Baldemir,12/30/2022,"9,387","281,714",Beyrut Yapım,"Erkan Bektaş, Sefa Zengin, Şevki Altunbuken",5.0,5,Türkiye
Hayalimdeki Düğün,Shotgun Wedding,"Komedi, Aşk, Aksiyon",Jason Moore,12/30/2022,"17,084","1,327,834","Jennifer Lopez, Todd Lieberman","Jennifer Lopez, Josh Duhamel, Lenny Kravitz",5.4,2,ABD
Lanetli Göl,Monstrous,"Korku, Gerilim, Gizem",Chris Sivertson,12/30/2022,"30,721","1,973,766","Robert Yocum, B.I. Rosen, Johnny Remo, Sasha Yelaun","Christina Ricci, Santino Barnard, Don Durrell",4.6,4,ABD
Çakallarla Dans 6,,"Komedi, Aksiyon",Murat Şeker,12/2/2022,"862,380","50,504,213","SugarWorkz, TAFF","Şevket Çoruh, İlker Ayrık, Timur Acar",6.9,10,Türkiye
Bergen,,"Dram, Biyografi","Mehmet Binay, M. Caner Alper",3/4/2022,"5,484,798","160,057,802",Orchestra Content,"Farah Zeynep Abdullah, Erdal Beşikçioğlu, Tilbe Saran",6.9,28,Türkiye
Kesişme - İyi ki Varsın Eren,,"Dram, Biyografi",Özer Feyzioğlu,1/1/2022,"2,328,090","53,335,686","Dijital Sanatlar, TRT","İsmail Hacıoğlu, Rahman Beşel, Alayça Öztürk Gidişoğlu",7.3,43,Türkiye
Doktor Strange Çoklu Evren Çılgınlığında,Doctor Strange in the Multiverse of Madness,"Macera, Fantastik, Aksiyon, 3 Boyutlu, IMAX",Sam Raimi,5/6/2022,"1,563,041","59,457,089",Marvel Studios,"Benedict Cumberbatch, Elizabeth Olsen, Rachel McAdams",6.9,17,ABD
Avatar: Suyun Yolu,Avatar: The Way of Water,"Macera, Fantastik, Aksiyon, 3 Boyutlu, IMAX",James Cameron,12/16/2022,"2,608,695","182,608,911",James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver",7.8,8,ABD
Thor: Aşk ve Gök Gürültüsü,Thor: Love and Thunder,"Macera, Fantastik, Aksiyon",Taika Waititi,7/8/2022,"1,229,668","53,833,184",Kevin Feige,"Chris Hemsworth, Tessa Thompson, Natalie Portman",6.3,15,ABD
Minyonlar 2: Gru'nun Yükselişi,Minions: The Rise of Gru,"Macera, Animasyon, 3 Boyutlu","Kyle Balda, Brad Ableson",7/1/2022,"1,194,447","49,750,622","Chris Renaud, Chris Meledandri, Janet Healy","Steve Carell, Alan Arkin, Taraji P. Henson",6.6,26,ABD
Aslan Hürkuş Kayıp Elmas,,Animasyon,"Hakan Bol, H. Sinan Güngor",1/7/2022,"1,167,455","27,460,718","Outline Ajans, Akko Organizasyon","Kayra Özdemir, Elif Gizem Aykul, Nusret Çetinel",6.3,28,Türkiye
The Batman,The Batman,"Dram, Suç, Aksiyon, IMAX",Matt Reeves,3/4/2022,"1,081,473","36,684,759"," Matt Reeves, Dylan Clark","Robert Pattinson, Zoë Kravitz, Paul Dano",7.8,10,ABD
Aslan Hürkuş Görevimiz Gökbey,,Animasyon,"H. Sinan Güngor, Semih Turalı, Yunus Emre Çakır",9/21/2022,"905,431","44,005,073",Outline Animation and Games,"Kayra Özdemir, Elif Gizem Aykul, Fatih Özkul",5.4,16,Türkiye
Kirpi Sonic 2,Sonic the Hedgehog 2,"Macera, Komedi, Aksiyon",Jeff Fowler,4/8/2022,"686,557","22,672,384","Sonic Team, Sega Technical Instute","Jim Carrey, James Marsden, Tika Sumpter",6.5,21,ABD
Dilberay,,"Dram, Biyografi",Ketche,2/4/2022,"686,495","18,555,172",Aytaç Medya,"Büşra Pekin, Ayberk Pekcan, Nursel Köse",5.9,18,Türkiye
Black Adam,,"Bilim-Kurgu, Aksiyon, IMAX",Jaume Collet-Serra,9/21/2022,"527,329","30,276,257","Dwayne Johnson, Dany Garcia, Hiram Garcia, Beau Flynn","Dwayne Johnson, Sarah Shahi, Pierce Brosnan",6.4,9,ABD
Tay,,Animasyon,Nurullah Yenihan,9/23/2022,"516,275","22,461,969",Laciverd,,5.0,19,Türkiye
Kırmızı,Turning Red,"Animasyon, 3 Boyutlu",Domee Shi,3/11/2022,"503,475","15,364,014",Lindsey Collins,"Rosalie Chiang, Sandra Oh, Ava Morse",7.0,18,ABD
Top Gun: Maverick,,"Dram, Aksiyon",Joseph Kosinski,5/27/2022,"498,395","21,624,164","Tom Cruise, Jerry Bruckheimer, Christopher McQuarrie, David Ellison","Tom Cruise, Val Kilmer, Jennifer Connelly",8.3,20,ABD
Black Panther: Yaşasın Wakanda,Black Panther: Wakanda Forever,"Macera, Aksiyon",Ryan Coogler,11/11/2022,"487,382","30,846,700","Kevin Feige, Nate Moore","Letitia Wright, Lupita Nyong'o, Angela Bassett",6.8,7,ABD
Jurassic World: Hâkimiyet,Jurassic World Dominion,"Macera, Bilim-Kurgu, Aksiyon",Colin Trevorrow,6/10/2022,"483,842","18,821,005","Universal Stüdyoları, Amblin Entertainment, Perfect World Pictures, Latina Pictures","Chris Pratt, Bryce Dallas Howard, Laura Dern",5.6,14,ABD
Uncharted,,"Macera, Aksiyon",Ruben Fleischer,2/11/2022,"447,171","13,953,139","Avi Arad, Alex Gartner, Charles Roven, Ari Arad","Tom Holland, Mark Wahlberg, Antonio Banderas",6.3,8,ABD
Fantastik Canavarlar: Dumbledore'un Sırları,Fantastic Beasts: The Secrets of Dumbledore,"Macera, Aile, Fantastik, IMAX",David Yates,4/15/2022,"434,214","16,891,691","David Heyman, J.K. Rowling, Steve Kloves, Lionel Wigram, Tim Lewis","Eddie Redmayne, Jude Law, Katherine Waterston",6.2,9,ABD
Müjdemi İsterim,,Komedi,Ömer Faruk Yardımcı,11/18/2022,"439,991","24,540,616",TMC Film,"Ahmet Kural, Ecem Erkek, Mehmet Özgür",5.4,9,Türkiye
Adanış Kutsal Kavga,,"Dram, Aksiyon",Emir Khalilzadeh,3/11/2022,"410,346","8,494,546",FFP Media,"İsmail Filiz, Esra Bilgiç, Baki İlhan",5.1,17,Türkiye
Kaptan Pengu ve Arkadaşları 2,,Animasyon,"Nurullah Yenihan, Pelin Tuğçe Şen",1/28/2022,"390,773","9,631,773",Siyah Martı,"Şensel Uykal, Onur Akgülgil, Emin Yaraç, Ufuk Yüksel, Ali İhsan Bozdemir",6.6,32,Türkiye
"Barış Akarsu ""Merhaba""",,"Dram, Biyografi",Mert Dikmen,11/18/2022,"367,006","19,775,689","Fikri Harika Prodüksiyon, Aytaç Medya","İsmail Ege Şaşmaz, Almila Ada, Hüseyin Avni Danyal",6.3,7,Türkiye
Benden Ne Olur?,,Romantik-Komedi,Murat Şenöy,1/14/2022,"360,863","9,481,634","Med Yapım, CJ ENM, Ay Yapım","Hazal Kaya, Onur Tuna, Enis Arıkan",4.7,10,Türkiye
Şarkını Söyle 2,Sing 2,"Komedi, Animasyon, 3 Boyutlu",Garth Jennings,1/21/2022,"338,972","8,916,573",Chris Meledandri; Janet Healy,"Arda Aydın, Figen Sumeli,Ali Çorapçı",7.4,9,ABD
Doru Macera Ormanı,,Animasyon,Arkın Aktaç,4/1/2022,"319,467","8,410,665",Anibera,"Dilek Gürel, Özgür Varul, Emin Yaraç",4.2,18,Türkiye
Müstakbel Damat,,Komedi,İlker Ayrık,11/11/2022,"308,886","16,055,486",Pervasız Yapım,"İlker Ayrık, Erdal Özyağcılar, Hande Soral",4.9,8,Türkiye
Nasreddin Hoca Zaman Yolcusu,,Animasyon,Nurullah Yenihan,12/9/2022,"362,677","19,057,674",Siyah Martı,"Ekinsu Karaata, Fatih Özkul, Ender Yiğit",4.1,9,Türkiye
Suikast Treni,Bullet Train,"Gerilim, Aksiyon",David Leitch,8/5/2022,"275,444","14,410,446","David Leitch, Antoine Fuqua, Kelly McCormick","Brad Pitt, Zazie Beetz, Aaron Taylor-Johnson",7.3,10,ABD
Karlar Kraliçesi ve Prenses,The Snow Queen & The Princess,Animasyon,"Andrey Korenkov, Aleksey Tsitsilin",11/11/2022,"251,137","13,460,658",Walt Disney Animation Studios,"Paul Rudd, Evangeline Lilly",6.2,8,Rusya
Kim Bu Aile?,,"Komedi, Aile, Aksiyon",Bedran Güzel,10/7/2022,"213,535","11,341,204",CJ ENM,"Cengiz Bozkurt, Nurgül Yeşilçay, Onur Buldu",5.5,6,Türkiye
Morbius,Morbius,"Macera, Dram, Aksiyon, 3 Boyutlu",Daniel Espinosa,4/1/2022,"208,718","7,061,615","Avi Arad, Lucas Foster, Matthew Tolmach","Jared Leto, Jared Harris, Matt Smith",5.2,5,ABD
Kurak Günler,,Dram,Emin Alper,12/9/2022,"248,148","16,544,461","Ay Yapım, Liman Film","Selahattin Paşalı, Ekin Koç, Erol Babaoğlu",8.1,11,Türkiye
Malazgirt 1071,,"Tarihi, Savaş, Aksiyon","Özgür Bakar, Bilal Kalyoncu",2/11/2022,"197,175","3,465,631",2506,"Cengiz Coşkun, Haluk Piyes, Caner Kurtaran",3.7,19,Türkiye
Çığlık,Scream,"Korku, Gerilim, Gizem","Tyler Gillett, Matt Bettinelli-Olpin",1/14/2022,"193,785","5,317,847","Cathy Konrad, Cary Woods","Neve Campbell, Courtney Cox, Jenna Ortega",6.3,7,ABD
Buğday Tanesi,,Dram,Doğan Ümit Karaca,12/2/2022,"233,125","7,011,590",Beyrut Yapım,"Kutsi, Yeliz Akkaya, Deniz Arna",5.0,9,Türkiye
Kim Demiş Kötüyüz Diye?,The Bad Guys,"Animasyon, 3 Boyutlu",Pierre Perifel,4/29/2022,"183,709","6,259,451",DreamWorks Animation,"Sam Rockwell, Marc Maron, Awkwafina",6.8,11,ABD
DC Süper Evciller Takımı,DC League of Super-Pets,"Macera, Animasyon, Fantastik","Sam Levine, Jared Stern",7/29/2022,"179,278","7,588,542","Patricia Hicks, Jared Stern, Dwayne Johnson","Dwayne Johnson, Kevin Hart, Kate McKinnon",7.2,15,ABD
Moonfall,,"Macera, Fantastik, Aksiyon, IMAX",Roland Emmerich,2/4/2022,"162,340","4,709,991","Roland Emmerich, Harald Kloser","Halle Berry, Patrick Wilson, John Bradley",5.1,8,"ABD, Çin, Kanada"
Yunus Çocuk,Dolphin Boy,"Animasyon, Aile",Mohammed Kheirandish,12/2/2022,"168,214","9,021,367","Mohammed Hamedani, Hüseyin Kuyulu, Hossein Raghebi","Burak Sergen, Esra Bilgiç, Yetkin Dikinciler",5.3,11,İran
Mutlu Oyuncak Dükkanı,,Animasyon,H. Sinan Güngor,6/10/2022,"155,510","5,280,376",Outline Animation and Games,"Elif Gizem Aykul, Hakan Coşar, Elifcan Kamiloğlu",5.9,16,Türkiye
Afacanlar: İş Başa Düştü,,"Komedi, Aile",Enes Ateş,2/4/2022,"149,747","4,195,141",CM Medya,"Berat Efe Parlar, Gürgen Öz, Burak Hakkı",4.5,25,Türkiye
Bandırma Füze Kulübü,,Dram,Ömer Faruk Sorak,10/21/2022,"148,275","7,042,026",İstanbul Sinemacılık,"Alina Boz, Deniz Can Aktaş, Erkan Kolçak Köstendil",7.2,16,Türkiye
Anka,,"Dram, Aksiyon",Süleyman Mert Özdemir,1/28/2022,"131,350","2,181,897",MGX Film,"Ozan Akbaba, Uğur Uzunel, Deniz Işın",4.6,4,Türkiye
Mahlûkat,,Korku,Alper Mestçi,2/18/2022,"128,679","3,473,984","Metronom Yapım, Aytaç Medya, Fikri Harika Prodüksiyon","Adnan Koç, Seda Oğuz, Kurtuluş Şakirağaoğlu",4.8,6,Türkiye
Sevmedim Deme,,"Dram, Biyografi",Burak Kuka,10/14/2022,"124,486","6,045,000","NETD, DMC, Mahzen Media","Kurtuluş Kuş, Burak Bulut, Ceyda Ateş",7.5,8,Türkiye
Hazine Avcısının Maceraları ve Zümrüt Tablet,Tad The Lost Explorer And The Emerald Tablet,Animasyon,Enrique Gato,9/2/2022,"122,648","5,817,800","Telecinco Cinema, Ikiru Films, Lightbox Animation Studios","Oscar Barberán, Luis Posada, Michelle Jenner",6.0,10,İspanya
Aya Sihirli Yolculuk,Moonbound,"Macera, Animasyon, Aile",Ali Samadi Ahadi,10/28/2022,"119,435","6,362,983","Ali Samadi Ahadi, Frank Geiger, Armin Hofmann","Dirk Petrick, Peter Simonischek, Roxana Samadi",4.8,13,"Almanya, Avusturya"
Hep Yek 5: Bizim Şeyimiz mi Altan,,Komedi,Özgür Bakar,11/4/2022,"113,008","5,946,819","2506, TME Films","İnan Ulaş Torun, Önder Açıkbaş, Tuna Orhan",3.3,7,Türkiye
Gülümse,Smile,Korku,Parker Finn,9/30/2022,"100,755","5,570,191"," Paramount Players, Temple Hill Entertainment","Sosie Bacon, Kyle Gallner, Caitlin Stasey",6.6,8,ABD
Mutlu Canavar Ailesi 2,"Monster Family 2, Happy Family 2","Macera, Komedi, Animasyon",Holger Tappe,2/25/2022,"98,956","2,851,366","Holger Tappe, Stefan Mischke, Michael Mack","Emily Watson, Nick Frost, Jessica Brown Findlay",4.8,18,"Almanya, Birleşik Krallık"
Zebun,,Korku,"Mesut Erbaş, Hakan Yusufoğulları",4/29/2022,"90,099","2,930,424","Zer Film, HM Productions","Hakan Akgün, Sema Şimşek, Almina Kahraman",2.9,9,Türkiye
Kendinden Kaçak,,Komedi,Levent Türkan,4/8/2022,"85,935","2,412,948",Blackwhite Film Prodüksiyon,"Atakan Özyurt, Bilal Hancı, Fatih Yasin",2.4,5,Türkiye
Orman Vatandır - Çanakkale Ruhu,,Belgesel,"Mehmet Balaban, Mehmet Ali Sevimli",3/18/2022,"82,481","1,271,946",Erka Medya,"Murat Tavlı, Ferit Kılıç, Harun Kocatürk",6.2,7,Türkiye
Masal Şatosu: Gizemli Misafir,,"Aile, Fantastik",Burak Kuka,8/12/2022,"78,830","3,251,292","RETROPRO, NETD, DMC, WOVIE","Ecrin Su Çoban, Gülse Göçer, Ozan Varol",6.1,13,Türkiye
Siyah Telefon,The Black Phone,Korku,Scott Derrickson,6/24/2022,"76,110","3,056,525","Jason Blum, Scott Derrickson","Ethan Hawke, Mason Thames, Madeleine McGraw",6.9,10,ABD
Hopper ve Çılgın Çetesi: Büyük Macera,"Hopper et le hamster des ténèbres, Chickenhare and the Hamster of Darkness","Macera, Komedi, Animasyon","Ben Stassen, Benjamin Mousquet",5/27/2022,"74,516","2,456,284","Ben Stassen, Caroline Van Iseghem, Matthieu Zeller","Thomas Solivérès, Chloé Jouannet, Nicolas Maury",6.3,21,"Belçika, Fransa"
Sil Baştan Kaynanam,,Komedi,Raşit Çelikezer,12/9/2022,"77,505","2,990,897",Greenart Group,"Alper Saldıran, Algı Eke, Zeynep Eronat",3.2,10,Türkiye
Cesur İtfaiyeci,Fireheart,"Macera, Komedi, Animasyon","Theodore Ty, Laurent Zeitoun",4/22/2022,"68,826","2,219,314"," Laurent Zeitoun, Yann Zenou, Valérie d'Auteuil","Alice Pol, Vincent Cassel, Valérie Lemercier",6.2,17,"Fransa, Kanada"
Zir-i Cin,,"Korku, Gerilim",Emre Pala,7/1/2022,"68,201","2,516,281",HM Productions,"Defne Çoban, Ogan Şenyolcu, Mohamad Ahmad",4.5,6,Türkiye
Ejderham ve Ben,Dragon Rider,"Macera, Animasyon, Aile, 3 Boyutlu",Tomer Eshed,5/13/2022,"68,200","2,251,883","Oliver Berben, Christoph Müller, Martin Moszkowicz","Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore",5.7,11,Almanya
Jujutsu Kaisen 0: The Movie,,"Animasyon, Fantastik, Aksiyon",Seong-Hu Park,5/13/2022,"65,710","2,479,597","Gege Akutami, Chinatsu Akasaki, Toshihiro Maeda","Megumi Ogata, Kana Hanazawa, Mikako Komatsu",7.8,6,Japonya
Efsane Takım: Bilim Kahramanları,,Animasyon,Suat Emuce,10/7/2022,"63,788","2,214,635",Dukka Medya,"Aydoğan Temel, Ercan Demirel, Fatih Özkul",7.2,14,Türkiye
Tamirhane,,Komedi,Erkan Kolçak Köstendil,11/11/2022,"60,158","3,442,775",Sky Films,"Nejat İşler, Rıza Kocaoğlu, Merve Dizdar",5.7,6,Türkiye
Neşeli Kanatlar: Büyük Göç,Duck Duck Goose,Animasyon,Christopher Jenkins,3/18/2022,"59,831","1,590,933","Sandra Rabins, Penney Finkelman Cox, Harley Zhao","Jim Gaffigan, Zendaya, Lance Lim",5.7,20,"ABD, Birleşik Krallık, Çin"
Olmadı Kaçarız,,Komedi,Erkan Nurhan,2/18/2022,"58,359","1,389,323",Medyacızade,"Aykut Elmas, Halil İbrahim Göker, Ezgi Gizem",6.6,2,Türkiye
Elvis,,"Dram, Biyografi, Müzik",Baz Luhrmann,6/24/2022,"58,252","2,914,834","Baz Luhrmann, Catherine Martin, Gail Berman","Austin Butler, Tom Hanks, Olivia DeJonge",7.3,15,ABD
Asi Prenses,"Pil, Pil's Adventures","Macera, Animasyon, Fantastik",Julien Fournet,6/17/2022,"56,978","2,125,214","Jean-François Tosti, David Alaux, Éric Tosti","Kaycie Chase, Paul Borne, Julien Crampon",6.1,16,Fransa
The King's Man: Başlangıç,The King's Man,"Macera, Komedi, Aksiyon",Matthew Vaughn,1/7/2022,"56,639","1,672,259"," Matthew Vaughn, David Reid, Adam Bohlin","Ralph Fiennes, Harris Dickinson, Djimon Hounsou",6.3,5,"ABD, Birleşik Krallık"
Kayıp Şehir,The Lost City,"Romantik-Komedi, Aksiyon","Aaron Nee, Adam Nee",3/25/2022,"56,334","1,896,687","Sandra Bullock, Seth Gordon, Liza Chasin","Sandra Bullock, Channing Tatum, Daniel Radcliffe",6.1,4,ABD
Ayı Kardeşler: Macera Parkı,"Xiong Chu Mo: Kuang Ye Da Lu, Boonie Bears: The Wild Life",Animasyon,Leon Ding,1/28/2022,"56,195","1,343,956",Leon Ding,"Chris Boike, Joseph S. Lambert, Siobhan Lumsden",4.5,23,Çin
Mahalleden Arkadaşlar,,Komedi,Selçuk Aydemir,11/4/2022,"54,731","2,839,118",TR 40 33 Productions,"Nurgül Yeşilçay, Alper Kul, Murat Akkoyunlu",3.2,9,Türkiye
Cennete Bilet,Ticket to Paradise,Romantik-Komedi,Ol Parker,9/16/2022,"53,835","3,418,789"," Deborah Balderstone, Tim Bevan, Sarah Harvey","Julia Roberts, George Clooney, Kaitlyn Dever",6.2,10,ABD
The Menu,,"Korku, Komedi",Mark Mylod,11/18/2022,"54,536","4,333,286","Adam McKay, Will Ferrell, Betsy Koch","Anya Taylor-Joy, Ralph Fiennes, Nicholas Hoult",7.2,9,ABD
Kurtuluş Hattı,,"Dram, Tarihi, Savaş",Selman Kayabaşı,5/13/2022,"52,442","994,139",Yakın Plan,"Hamdi Erdoğan, Gülsim Ali, Yusuf Aytekin",6.1,6,Türkiye
İlk Seans: NMSM,,"Korku, Gerilim",Gökhan Murat Toktamışoğlu,3/11/2022,"52,098","1,486,319",Hann Yapım,Eylül Ezgi Yılmaz,2.1,2,Türkiye
Karlar Kralı Norm 2,,Animasyon,"Richard Finn, Tim Maltby",1/14/2022,"51,953","1,212,357","Andrew Tight, Ken Katsumoto, Liz Young","Fatih Özacun, Uğur Taşdemir, Ali Çorapçı",3.4,19,"ABD, Çin, Güney Kore, Hindistan"
Kuzeyli,The Northman,"Macera, Dram, Aksiyon",Robert Eggers,4/22/2022,"51,920","2,055,860","Alexander Skarsgård, Robert Eggers, Lars Knudsen","Alexander Skarsgård, Anya Taylor-Joy, Claes Bang",7.1,7,ABD
Hazine,,"Macera, Komedi, Aksiyon",Canbert Yerguz,11/4/2022,"49,826","2,748,878",BKM,"Çağlar Çorumlu, Boran Kuzum, Şükran Ovalı",6.2,4,Türkiye
"Tim, Tim, Timsah","Lyle, Lyle, Crocodile","Macera, Animasyon","Josh Gordon, Will Speck",11/18/2022,"48,436","2,896,663","Will Speck, Josh Gordon, Hutch Parker","Javier Bardem, Constance Wu, Winslow Fegley",6.1,8,ABD
Düşler Fabrikası,"Drømmebyggerne, Dreambuilders","Macera, Komedi, Animasyon","Kim Hagen Jensen, Tonni Zinck",4/8/2022,"47,231","1,464,221","Nynne Selin, Sunit Parekh","Emilie Koppel, Alberte Winding, Rasmus Botoft",6.0,12,Danimarka
Amsterdam,,"Dram, Tarihi",David O. Russell,10/7/2022,"46,503","3,067,218"," Christian Bale, David O. Russell, Matthew Budman","Christian Bale, Margot Robbie, John David Washington",6.1,5,ABD
Niloya,,Animasyon,Arkın Aktaç,11/11/2022,"46,208","2,315,673",Anibera,"Berrak Nehir KÖK, Berk Pamir, Zeynep Önen",3.2,7,Türkiye
Tam Kafadan Karavana,,Komedi,"Oğuz Öztürk, Celal Öztürk",4/29/2022,"44,267","1,395,983","Bros Film, Lokum Games","Ali Biçim, Mesut Can Tomay, Efekan Can",4.8,5,Türkiye
Nil'de Ölüm,Death on the Nile,"Gerilim, Dram, Suç",Kenneth Branagh,2/11/2022,"43,585","1,487,199","Kenneth Branagh, Ridley Scott, Judy Hofflund","Kenneth Branagh, Gal Gadot, Emma Mackey",6.3,5,ABD
Dert Etme Sevgilim,Don't Worry Darling,"Korku, Gerilim",Olivia Wilde,9/23/2022,"43,269","2,559,041","Olivia Wilde, Katie Silberman, Roy Lee","Florence Pugh, Harry Styles, Olivia Wilde",6.2,4,ABD
Ambulans,Ambulance,"Gerilim, Dram, Aksiyon",Michael Bay,3/18/2022,"42,560","1,385,973","Michael Bay, James Vanderbilt, Brad Fischer","Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González",6.1,4,ABD
Cadılar Bayramı Sona Eriyor,Halloween Ends,Korku,David Gordon Green,10/14/2022,"42,146","2,333,760","Jason Blum, Malek Akkad, Bill Block","Jamie Lee Curtis, Andi Matichak, Kyle Richards",5.0,4,ABD
Kocaayak ve Ailesi,Bigfoot Family,"Macera, Animasyon, Aile","Ben Stassen, Jeremy Degruson",3/25/2022,"42,459","1,209,677","Ben Stassen, Cal Brunker, Caroline Van Iseghem","Kylian Trouillard, Alexis Victor, Marieve Herington",5.8,18,"Belçika, Fransa"
Hayır,Nope,Korku,Jordan Peele,8/19/2022,"41,877","2,183,390","Jordan Peele, Ian Cooper","Daniel Kaluuya, Keke Palmer, Steven Yeun",6.9,6,ABD
"Masal Zamanı ""Melez Prenses""",,"Komedi, Aile, Fantastik","Kubilay Güleçoğlu, Burak Kahraman",1/21/2022,"40,555","953,119",Korsan Medya,"Lavinya Ünlüer, Kaan Yılmaz, Ebrar Demirbilek",7.8,3,Türkiye
Şeytan Kapanı,Prey for the Devil,"Korku, Gerilim",Daniel Stamm,10/28/2022,"40,541","2,127,303","Earl Richey Jones, Todd R. Jones, Paul Brooks","Jacqueline Byers, Virginia Madsen, Colin Salmon",5.2,4,ABD
Laal Singh Chaddha,,"Komedi, Dram, Savaş",Advait Chandan,8/12/2022,"39,578","1,726,403",Aamir Khan; ‎Kiran Rao‎; Jyoti Deshpande,"Aamir Khan, Kareena Kapoor, Naga Chaitanya Akkineni",5.5,8,Hindistan
