Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Hasılat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Kar ve Ayı,,Dram,Selcen Ergun,9/8/2023,"11,231","1,136,843",Nefes Films,"Merve Dizdar, Saygın Soysal, Erkan Bektaş",6.6,8,Türkiye
Renfield,,"Korku, Komedi",Chris McKay,4/14/2023,"11,154","990,197","Chris McKay, Robert Kirkman, Samantha Nisenboim","Nicholas Hoult, Nicolas Cage, Awkwafina",6.4,3,ABD
Uzay Köpekleri,Space Pups,"Macera, Bilim-Kurgu, Aile",Jason Murphy,8/25/2023,"11,063","1,033,137","Mark Boot, Kenny Beaumont, Eli Lipnik","Myron Donley, Riley Madison Fuller, Elijah Green",5.0,3,ABD
Drakula: Son Yolculuk,The Last Voyage of the Demeter,"Korku, Gerilim",André Øvredal,8/25/2023,"11,048","1,155,051","Brad Fischer, Mike Medavoy, Arnold Messer","Corey Hawkins, David Dastmalchian, Aisling Franciosi",6.1,3,ABD
Tatlı Bela,Beautiful Disaster,"Komedi, Dram, Romantik",Roger Kumble,5/5/2023,"11,021","1,005,934","Roger Kumble, Brian Pitt, Nicolas Chartier","Virginia Gardner, Autumn Reeser, Dylan Sprouse",5.3,6,ABD
Başka Bir Hayatta,Past Lives,"Dram, Romantik",Celine Song,12/8/2023,"11,236","1,567,845","David Hinojosa, Christine Vachon, Pamela Koffler","Greta Lee, Teo Yoo, John Magaro",7.9,8,"ABD, Güney Kore"
Kadınlara Mahsus,,"Dram, Romantik",Serdar Akar,12/22/2023,"10,411","1,339,546",Limit Yapım,"Melisa Aslı Pamuk, Ceyda Düvenci, Aslı Tandoğan",8.5,3,Türkiye
Kalp Estetiği,,"Komedi, Romantik",Haydar Işık,9/29/2023,"9,683","915,694",CMP Prodüksiyon,"Evliya Aykan, Ersin Korkut, Müge Boz",7.6,3,Türkiye
Bıcırıklar: Yeni Yuvamız,"Die Mucklas... und wie sie zu Pettersson und Findus kamen, The Muckles: The Quest for a New Home","Macera, Animasyon, Aile","Ali Samadi Ahadi, Markus Dietrich",8/11/2023,"9,433","815,929",SOLA MEDIA GMBH,"Uwe Ochsenknecht, ChrisTine Urspruch, André Jung",4.2,14,Almanya
Ölümcül Çarpışma,"Hidden Strike, Snafu","Gerilim, Aksiyon",Scott Waugh,7/7/2023,"9,018","838,833","Jackie Chan, Hans Canosa, Esmond Ren","Jackie Chan, John Cena, Pilou Asbæk",5.3,3,"ABD, Çin"
Lanetli Kan,Blood,"Korku, Gerilim",Brad Anderson,5/12/2023,"8,715","744,768","Michelle Monaghan, Skeet Ulrich, Finlay Wojtak-Hissong","Michelle Monaghan, Skeet Ulrich, Finlay Wojtak-Hissong",5.5,4,ABD
Yaşamak,Living,Dram,Oliver Hermanus,3/3/2023,"8,707","647,409","Elizabeth Karlsen , Stephen Woolley","Bill Nighy, Aimee Lou Wood, Alex Sharp",7.2,15,"Birleşik Krallık, İsveç, Japonya"
Neşeli Çiftlik: Tren Kalkıyor!,A Mystery on the Cattle Hill Express,Animasyon,Will Ashurst,5/12/2023,"8,673","658,857","Qvisten Animation, In The Air"," Scott Chambers (IV), Ryan Oliva, Tallulah Evans",5.2,7,Norveç
Hayalet Suikastçi,Assassin,"Gerilim, Suç, Aksiyon",Jesse Atlas,4/7/2023,"8,571","700,985","Alexander Eckert , Jeff Elliott , Najeeb Khuda","Bruce Willis, Dominic Purcell, Nomzamo Mbatha",3.2,3,ABD
Lilith Cinleri,,Korku,Özlem Yeşilyurt,7/28/2023,"8,486","764,732",Mert Yapım Medya,"Pınar Demiral, Berkant Aksoy, Furkan Avcı",3.1,2,Türkiye
Haris,,Korku,Kadir Genç,3/17/2023,"8,335","563,964",Apah Yapım,"Mesut Gedikoğlu, Hasret Yılmaz, Sinem Can Aksu",3.0,3,Türkiye
Ne Olacak Halim?,,"Komedi, Aile, Romantik",Semra Dündar,3/10/2023,"8,188","568,246",Karataş Film Yapım,"Emre Altuğ, Algı Eke, Lemi Filozof",4.9,4,Türkiye
Zina,,Korku,Anastasiya Budakva,11/24/2023,"7,823","868,557",Mert Yapım Medya,"Sema Bolat, Yağmur Tazegül, Tuğba Aydın",2.8,4,Türkiye
Pinkfong: Baby Shark,Pinkfong Sing-Along Movie 2: Wonderstar Concert,"Animasyon, Müzik",Sukyoung Kim,3/10/2023,"7,610","542,430",THE PİNKFONG COMPANY INC,"Lexi Fontaine, Larissa Gallagher, Kyle McCarley",4.6,9,Güney Kore
Pathaan,,"Gerilim, Dram, Aksiyon",Siddharth Anand,3/3/2023,"7,571","575,395","Aditya Chopra, Maxim Ajjawi","Shah Rukh Khan, Deepika Padukone, John Abraham",5.8,2,Hindistan
Lamborghini: Efsanenin Arkasındaki Adam,Lamborghini: The Man Behind the Legend,"Dram, Biyografi, Spor",Bobby Moresco,2/24/2023,"7,401","717,178","Andrea Iervolino, Monika Bacardi, Allen Dam","Frank Grillo, Mira Sorvino, Gabriel Byrne",5.4,2,"ABD, İtalya"
Oregon,,"Komedi, Dram",Kerem Ayan,4/28/2023,"7,323","599,894",NuLook Production,"Aslı İnandık, Serkan Çayoglu, Ferit Aktuğ",4.6,4,Türkiye
Kayıp,Missing,"Gerilim, Dram","Will Merrick, Nicholas D. Johnson",3/31/2023,"7,319","598,714","Aneesh Chaganty, Sev Ohanian, Timur Bekmambetov","Storm Reid, Nia Long, Daniel Henney",7.1,3,ABD
